label,line,borough,_page,Month,Year,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
161st Street,,Bronx,4,,,8867461.0,8044184.0,7677480.0,8988888.0,6728889.0,6894778.0,6888920.0,8880829.0,8833979.0,2912608.0
167th Street,,Bronx,4,,,7128764.0,8840712.0,8882488.0,6011918.0,6168402.0,8988998.0,8898892.0,8148792.0,3048298.0,
170th Street,,Bronx,4,,,8979677.0,8077828.0,8039067.0,4988881.0,4164402.0,3819681.0,8808791.0,8148788.0,8818882.0,3838788.0
Mt. Eden Avenue,,Bronx,4,,,4436873.0,4399678.0,4388227.0,7418898.0,8387264.0,6298781.0,2688688.0,8888888.0,2608120.0,2818183.0
176th Street,,Bronx,4,,,7618107.0,8872707.0,8664629.0,6887928.0,3788824.0,2678838.0,2638668.0,,3847108.0,2348616.0
New York University—Burnside Ave.,,Bronx,4,,,8787268.0,8924314.0,8824814.0,8488848.0,4118809.0,8788238.0,8781840.0,8897488.0,3347108.0,2868388.0
183d Street,,Bronx,4,,,8988280.0,6046721.0,8888448.0,8046124.0,3969049.0,8679787.0,924088.0,988332.0,984949.0,964033.0
Fordham Road,,Bronx,4,,,4892230.0,4769748.0,6728408.0,8806697.0,,848878.0,8887989.0,8168887.0,8884887.0,1173676.0
Kingsbridge Road,,Bronx,4,,,2022079.0,3048994.0,1881444.0,1808807.0,3619998.0,3442011.0,,,1790748.0,1689809.0
Bedford Park Blvd.—200th Street,,Bronx,4,,,4089208.0,4212109.0,4241817.0,3144061.0,1897208.0,1818968.0,,86119007.0,84981408.0,
Mosholu Parkway,,Bronx,4,,,1888890.0,2119486.0,2188861.0,,,,80061482.0,1888729.0,1628882.0,1602099.0
Woodlawn,,Bronx,4,,,88687848.0,86810488.0,88088741.0,88048079.0,83687727.0,81880442.0,,1688789.0,1888889.0,3888928.0
PELHAM BAY PARK BRANCH,,Bronx,4,,,2031618.0,1980798.0,1884188.0,4048818.0,3998889.0,3880698.0,2198819.0,3190118.0,2974031.0,2849719.0
133th Street—3d Avenue,,Bronx,4,,,4822289.0,4819086.0,4811078.0,,,,1088834.0,1184820.0,1108298.0,1088827.0
Brook Avenue,,Bronx,4,,,3718368.0,3683919.0,3338384.0,294273.0,984272.0,980082.0,1088834.0,1184829.0,2682839.0,2899981.0
Cypress Avenue,,Bronx,4,,,934230.0,987682.0,,,2883873.0,2887778.0,2183889.0,2180887.0,3112948.0,2122094.0
East 143d Street,,Bronx,4,,,2981288.0,2933890.0,2744068.0,2467617.0,2108438.0,,,3024700.0,,888809.0
East 149th Street,,Bronx,4,,,3423973.0,3486888.0,2818104.0,,2943898.0,2988841.0,3117477.0,,669180.0,688808.0
Longwood Avenue,,Bronx,4,,,3403988.0,3838887.0,,883120.0,621840.0,889180.0,2773789.0,2784144.0,2687440.0,2698880.0
Hunts Point Avenue,,Bronx,4,,,1948380.0,2099996.0,898810.0,,3041829.0,2738887.0,2808881.0,,,
Whitlock Avenue,,Bronx,4,,,2348068.0,2899988.0,2008881.0,2969440.0,2028886.0,,,1869099.0,1816887.0,1491888.0
