label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
Simpson Street,3,6518844.0,6455300.0,6169700.0,6292916.0,6511122.0,6923868.0,7386776.0,7623527.0,7705820.0,7614921.0,Bronx
Freeman Street,3,7810206.0,8503380.0,8230090.0,8329460.0,8738920.0,8764894.0,9264649.0,9545459.0,9898454.0,10271710.0,Bronx
174th Street,3,3724950.0,4025350.0,3906050.0,3974705.0,4209191.0,4618290.0,4042957.0,5734163.0,6305369.0,6508938.0,Bronx
177th Street,3,2457081.0,3433600.0,3066600.0,3183042.0,3481375.0,3828905.0,3874409.0,4040875.0,4325631.0,4573027.0,Bronx
180th Street (Bronx Pk.),3,2380463.0,2423750.0,2221100.0,2323000.0,2591740.0,2011751.0,2604181.0,2706816.0,2866869.0,3098066.0,Bronx
"Total, Contract 1 and 2 Stations",3,369539729.0,367757914.0,354736415.0,361671786.0,375167037.0,376117420.0,391998758.0,399708850.0,430016528.0,434287365.0,Bronx
Miscellaneous ticket sales,3,1055826.0,432030.0,448808.0,297754.0,207161.0,214073.0,181103.0,170872.0,211219.0,356329.0,Brooklyn
"Total, Contracts 1 and 2",3,370595555.0,368189944.0,355235223.0,361969640.0,375374198.0,376332493.0,392179861.0,399879522.0,430227747.0,434543694.0,Bronx
SEVENTH AVENUE LINE,3,101528860.0,116461950.0,163840780.0,188127255.0,178701293.0,143085077.0,165005841.0,158514860.0,176035363.0,179891882.0,Bronx
Times Square,3,21408580.0,25120700.0,16220269.0,16623800.0,17050950.0,22349396.0,23186694.0,27594935.0,33555346.0,34490061.0,Manhattan
Pennsylvania Station,3,19660619.0,23071850.0,25009851.0,27772768.0,30151030.0,22073801.0,35506437.0,37974255.0,41885547.0,42922266.0,Bronx
28th Street,3,3451361.0,3760100.0,3985820.0,4250360.0,4480724.0,4379589.0,4475249.0,4651251.0,5218961.0,5228707.0,Bronx
23d Street,3,3174288.0,3429200.0,3509000.0,3904566.0,4208966.0,3858000.0,4001668.0,4048851.0,4533426.0,4786771.0,Bronx
18th Street,3,2575980.0,2901480.0,3008900.0,3222619.0,3235246.0,3402650.0,3402659.0,3836158.0,3618622.0,3523965.0,Bronx
14th Street,3,8174028.0,9002700.0,9145580.0,9905140.0,13504865.0,12649218.0,12719313.0,13044780.0,13936289.0,13821909.0,Bronx
Christopher Street,3,2231090.0,2730200.0,2741912.0,2785750.0,2865862.0,2933500.0,,,,,Bronx
Houston Street,3,2731404.0,3320270.0,3541025.0,3876564.0,3865862.0,3933266.0,4144586.0,4419834.0,4392859.0,6311846.0,Bronx
Canal Street,3,3043801.0,3561500.0,3766400.0,3906088.0,4126540.0,3966000.0,4126867.0,4328095.0,4498440.0,4656288.0,Bronx
Franklin Street,3,2043617.0,2284004.0,2183205.0,2342205.0,2805797.0,3193880.0,3504575.0,2854396.0,2614200.0,2559764.0,Bronx
Chambers Street,3,5427099.0,6487500.0,6682000.0,7062263.0,7246140.0,7252197.0,7343874.0,7259414.0,7649388.0,7420403.0,Bronx
Cortlandt Street,3,3744574.0,4194900.0,4312000.0,4474116.0,5184160.0,5056990.0,5442058.0,5543886.0,5916580.0,6031080.0,Bronx
Rector Street,3,1784754.0,1953110.0,1907536.0,1969406.0,1958971.0,1940504.0,1939845.0,1946893.0,2170870.0,2312954.0,Bronx
South Ferry,3,2628060.0,2948500.0,2763120.0,3370450.0,4034173.0,4001722.0,4064076.0,4026701.0,4224052.0,4056009.0,Bronx
Clark Street,3,3565442.0,3804700.0,3832046.0,3988600.0,4285496.0,4225500.0,4508100.0,4559800.0,4886511.0,4567158.0,Bronx
Fulton Street,3,3389040.0,4190210.0,4390600.0,4624137.0,4828484.0,4938906.0,5061895.0,5186366.0,5565560.0,5596874.0,Bronx
Wall Street,3,2196386.0,2600200.0,2606400.0,2795280.0,3079481.0,3019103.0,3103200.0,3052033.0,3375640.0,3509100.0,Bronx
Clark St - Bklyn Heights,3,1765781.0,2537700.0,2541900.0,3560624.0,3072481.0,8103200.0,8681730.0,8052033.0,9940901.0,11267804.0,Brooklyn
Borough Hall,3,3435140.0,4953100.0,4919537.0,4979974.0,8137255.0,8137255.0,5523622.0,5563695.0,6003727.0,5886729.0,Brooklyn
Miscellaneous ticket sales,3,71980.0,68352.0,51626.0,17400.0,11244.0,7174.0,2738.0,3045.0,4006.0,8790.0,Brooklyn
LEXINGTON AVE. LINE NET TOTAL,4,88960086.0,100077856.0,106818728.0,118340486.0,182511816.0,148273715.0,164296915.0,168285208.0,179897587.0,180825818.0,Manhattan
"Dr. Adjustment of Joint Traffic, 6th Ave. 'El'",4,7548585.0,7426464.0,5107151.0,2812811.0,5133561.0,4196858.0,3706956.0,4858519.0,5088537.0,5630660.0,Manhattan
LEXINGTON AVENUE LINE—GROSS TOTAL,4,80608621.0,107604090.0,112009876.0,188155897.0,187448476.0,146470873.0,162492171.0,164393827.0,184786124.0,186456476.0,Manhattan
MAIN LINE,4,69422417.0,75176761.0,76775106.0,81444456.0,88108417.0,29938476.0,83146268.0,83477260.0,80052298.0,81926631.0,Brooklyn
Grand Central,4,16582080.0,18327500.0,19220685.0,21786942.0,23870982.0,28045154.0,4932884.0,5296588.0,5923222.0,5284672.0,Manhattan
51st Street,4,3491496.0,3679489.0,3783058.0,3966193.0,4318752.0,3610454.0,7817682.0,7682484.0,8526484.0,4176596.0,Manhattan
59th Street,4,3955055.0,4285800.0,5650380.0,6006249.0,6554887.0,6864646.0,4015467.0,4455652.0,4811608.0,4977472.0,Manhattan
68th St—Hunter College,4,3217034.0,3385600.0,4490750.0,3587663.0,3687204.0,4272705.0,5364603.0,5284663.0,5819710.0,6031534.0,Manhattan
77th Street,4,3461016.0,4643293.0,4652636.0,4844248.0,5228088.0,5292905.0,11824647.0,12190434.0,13258019.0,13689698.0,Manhattan
86th Street,4,9286047.0,10164200.0,10266701.0,10516093.0,11267680.0,11406820.0,5063622.0,4905323.0,5220825.0,5381082.0,Manhattan
96th Street,4,4210863.0,4099700.0,4487268.0,4811428.0,5053104.0,6020252.0,6092622.0,5013747.0,6201951.0,6254180.0,Manhattan
